name,degree
Trump Golf Links At Ferry Point,22.883333333333336
Bulle Rock,18.083333333333332
Cog Hill (No. 4),15.25
Atlantic City Country Club,15.166666666666666
The Glen Club,14.25
Bethpage Black Course,14.216666666666667
Pelican Hill Golf Club (Ocean South),12.466666666666667
Arnold Palmerâ€™S Bay Hill Club (Champion),12.264285714285716
Reynolds Lake Oconee (Great Waters),12.083333333333332
Reynolds Lake Oconee (Oconee),12.083333333333332
Trump National Golf Club Los Angeles,11.466666666666667
Streamsong Resort (Blue),11.180952380952382
Streamsong Resort (Red),11.180952380952382
Rustic Canyon Golf Course,10.966666666666667
Trump National Doral,9.5
Erin Hills Golf Course,8.5
Lake Of Isles (North),8.266666666666666
Hammock Beach Resort (Ocean),7.6
Torrey Pines Golf Course (South),6.666666666666666
Innisbrook Resort (Copperhead),6.5
Ak-Chin Southern Dunes Golf Club,6.416666666666666
Pasatiempo Golf Club,6.35
Chambers Bay,5.75
Pumpkin Ridge Golf Club (Ghost Creek),5.25
Grayhawk Golf Club (Talon),5.166666666666666
Troon North Golf Club (Monument),5.166666666666666
Troon North Golf Club (Pinnacle),5.166666666666666
We-Ko-Pa Golf Club (Cholla),5.166666666666666
We-Ko-Pa Golf Club (Saguaro),5.166666666666666
Tullymore Golf Resort,4.833333333333334
French Lick Resort (Pete Dye),4.5
The Golf Courses Of Lawsonia (Links),4.5
Sea Island Golf Club (Seaside),4.3
Sweetens Cove,4.0
Fallen Oak At Beau Rivage Resort,3.9642857142857144
Blackwolf Run (River),3.75
Dormie Club,3.75
May River Golf Club At Palmetto Bluff,3.5
The Virtues Golf Club,3.5
Tpc Sawgrass (Players Stadium),3.3
Omni Barton Creek Resort (Fazio Canyons),3.25
Tpc Deere Run,3.25
The Harvester Golf Club,3.0
Pinehurst Resort (No 2),2.75
Whistling Straits Golf Club (Irish),2.75
Whistling Straits Golf Club (Straits),2.75
Pebble Beach Golf Links,2.55
Spyglass Hill Golf Course,2.55
The Links At Spanish Bay,2.55
Karsten Creek Golf Club,2.5
Wolf Creek Golf Club,2.5
La Quinta Resort (Mountain),2.4166666666666665
Harbour Town Golf Links,2.25
Shadow Creek,2.25
Wynn Las Vegas,2.25
Paa-Ko Ridge Golf Club,2.0
Golden Horseshoe Golf Club (Gold),1.5
Mid Pines Inn And Golf Club,1.25
Pine Needles Lodge And Golf Club,1.25
Stadium Course At Pga West,1.25
The Greenbrier (Old White Tpc),1.25
Sunday River Golf Club,1.0833333333333335
Circling Raven Golf Club,1.0
Tobacco Road Golf Club,1.0
Sentryworld,0.75
The Highland Course At Primland Resort,0.75
Dunes Golf And Beach Club,0.5714285714285714
Linville Golf Club,0.5
Arcadia Bluffs Golf Club,0.25
Atunyote At Turning Stone Resort,0.25
Bay Harbor Golf Club (Links/Quarry),0.25
Omni Homestead (Cascades),0.25
Taconic Golf Club,0.25
The Links At Lighthouse Sound,0.25
The Quarry At Giants Ridge,0.25
