Ranking,Course,Price
1,"PEBBLE BEACH GOLF LINKS, PEBBLE BEACH, CALIF",$600
2,"BANDON DUNES GOLF RESORT, PACIFIC DUNES, ORE",$350
3,"PINEHURST RESORT (NO 2), PINEHURST, NC",$525
4,"BETHPAGE BLACK COURSE, FARMINGDALE, NY",$97
5,"WHISTLING STRAITS GOLF CLUB (STRAITS), KOHLER, WISC",$500
6,"THE OCEAN COURSE AT KIAWAH ISLAND RESORT, KIAWAH ISLAND, SC",$483
7,"TPC SAWGRASS (PLAYERS STADIUM), PONTE VEDRA BEACH, FLA",$400
8,"BANDON DUNES, BANDON, ORE",$350
9,"HARBOUR TOWN GOLF LINKS, HILTON HEAD ISLAND, SC",$280
10,"STREAMSONG RESORT (RED), STREAMSONG, FLA",$300
11,"OLD MACDONALD, BANDON, ORE",$350
12,"BANDON TRAILS, BANDON, ORE",$350
13,"PASATIEMPO GOLF CLUB, SANTA CRUZ, CALIF",$282
14,"STREAMSONG RESORT (BLUE), STREAMSONG, FLA",$275
15,"SPYGLASS HILL GOLF COURSE, PEBBLE BEACH, CALIF",$435
16,"SHADOW CREEK, NORTH LAS VEGAS, NEV",$600
17,"CHAMBERS BAY, UNIVERSITY PLACE, WASH",$425
18,"TRUMP NATIONAL DORAL, (BLUE MONSTER) MIAMI, FLA",$270
19,"BLACKWOLF RUN (RIVER), KOHLER, WIS",$385
20,"TORREY PINES GOLF COURSE (SOUTH), LA JOLLA, CALIF",$222
21,"FOREST DUNES GOLF CLUB, ROSCOMMON, MICH",$115
22,"SEA ISLAND GOLF CLUB (SEASIDE), ST. SIMONS ISLAND, GA",$330
23,"ERIN HILLS GOLF COURSE, ERIN, WIS",$415
24,"KAPALUA RESORT (PLANTATION) KAPALUA, MAUI, HAWAII",$329
25,"TROON NORTH GOLF CLUB (PINNACLE), SCOTTSDALE, ARIZ",$161
26,"OMNI HOMESTEAD (CASCADES), HOT SPRINGS, VA",$300
27,"TRUMP NATIONAL GOLF CLUB LOS ANGELES, RANCHO PALOS VERDES, CALIF",$230
28,"THE HIGHLAND COURSE AT PRIMLAND RESORT, MEADOWS OF DAN, VA",$225
29,"CALEDONIA GOLF AND FISH CLUB, PAWLEYS ISLAND, SC",$129
30,"FALLEN OAK AT BEAU RIVAGE RESORT, BILOXI, MISS",$109
31,"COG HILL (NO. 4), LEMONT, IL",$155
32,"MAUNA KEA GOLF COURSE KAMUELA, BIG ISLAND, HAWAII",$195
33,"DANCING RABBIT (AZALEAS), CHOCTAW, MISS",$80
34,"PAA-KO RIDGE GOLF CLUB, SANDIA PARK, NM",$92
35,"WORLD WOODS (PINE BARRENS), BROOKSVILLE, FLA",$40
36,"ARCADIA BLUFFS GOLF CLUB, ARCADIA, MICH",$295
37,"THE GREENBRIER (OLD WHITE TPC), WHITE SULPHUR SPRINGS, WV",$450
38,"PRONGHORN RESORT (NICKLAUS), BEND, ORE",$45
39,"DUNES GOLF AND BEACH CLUB, MYRTLE BEACH, SC",$159
40,"WE-KO-PA GOLF CLUB (SAGUARO), FORT MCDOWELL, ARIZ",$75
41,"REYNOLDS LAKE OCONEE (GREAT WATERS), GREENSBORO, GA",$495
42,"TACONIC GOLF CLUB, WILLIAMSTOWN, MASS",$160
43,"TRUMP GOLF LINKS AT FERRY POINT, BRONX, NY",$237
44,"MANELE GOLF COURSE LANAI CITY, LANAI, HAWAII",$485
45,"ARNOLD PALMERâ€™S BAY HILL CLUB (CHAMPION), ORLANDO, FLA",$220
46,"WE-KO-PA GOLF CLUB (CHOLLA), FORT MCDOWELL, ARIZ",$79
47,"THE LINKS AT SPANISH BAY, PEBBLE BEACH, CALIF",$340
48,"GAMBLE SANDS, BREWSTER, WASH",$205
49,"BULLE ROCK, HAVRE DE GRACE, MD",$100
50,"SWEETENS COVE, PITTSBURGH, TN",$150
51,"RED SKY RANCH (NORMAN), WOLCOTT, COLO",$261
52,"MAY RIVER GOLF CLUB AT PALMETTO BLUFF, BLUFFTON, SC",$320
53,"PINE NEEDLES LODGE AND GOLF CLUB, SOUTHERN PINES, NC",$155
54,"THE QUARRY AT GIANTS RIDGE, BIWABIK, MINN",$109
55,"GOLDEN HORSESHOE GOLF CLUB (GOLD), WILLIAMSBURG, VA",$79
56,"STADIUM COURSE AT PGA WEST, LA QUINTA, CALIF",$200
57,"DORMIE CLUB, WEST END, NC",
58,"TROON NORTH GOLF CLUB (MONUMENT), SCOTTSDALE, ARIZ",$100
59,"THE HARVESTER GOLF CLUB, RHODES, IOWA (PRIVATE NOW)",
60,"CASCATA, BOULDER CITY, NEV",$589
61,"MID PINES INN AND GOLF CLUB, SOUTHERN PINES, NC",$145
62,"FRENCH LICK RESORT (PETE DYE), FRENCH LICK, IND",$380
63,"REYNOLDS LAKE OCONEE (OCONEE), GREENSBORO, GA",$200
64,"PUMPKIN RIDGE GOLF CLUB (GHOST CREEK), NORTH PLAINS, ORE",$120
65,"KARSTEN CREEK GOLF CLUB, STILLWATER, OKLA",$250
66,"CROSSWATER AT SUNRIVER RESORT, SUNRIVER, ORE",$500
67,"THE BROADMOOR (EAST), COLORADO SPRINGS, COLO",
68,"ATUNYOTE AT TURNING STONE RESORT, VERONA, NY",$150
69,"LINVILLE GOLF CLUB, LINVILLE, NC",$135
70,"THE VIRTUES GOLF CLUB, NASHPORT, OHIO",$100
71,"WOLF CREEK GOLF CLUB, MESQUITE, NEV",$220
72,"INNISBROOK RESORT (COPPERHEAD), PALM HARBOR, FLA",$115
73,"WILDERNESS CLUB, EUREKA, MONT",$100
74,"ATLANTIC CITY COUNTRY CLUB, NORTHFIELD, NJ",$100
75,"THE LINKS AT LIGHTHOUSE SOUND, BISHOPVILLE, MD",$179
76,"THE PRAIRIE CLUB (DUNES), VALENTINE, NEB",$235
77,"TRUE BLUE, PAWLEYS ISLAND, SC",$159
78,"SENTRYWORLD, STEVENS POINT, WIS",$175
79,"WHISTLING STRAITS GOLF CLUB (IRISH), KOHLER, WIS",$525
80,"MARQUETTE GOLF CLUB (GREYWALLS), MARQUETTE, MICH",$50
81,"OMNI BARTON CREEK RESORT (FAZIO CANYONS), AUSTIN, TEX",$220
82,"LAKE OF ISLES (NORTH), NORTH STONINGTON, CONN",$150
83,"TULLYMORE GOLF RESORT, STANWOOD, MICH",$135
84,"AK-CHIN SOUTHERN DUNES GOLF CLUB, MARICOPA, ARIZ",$60
85,"BAREFOOT RESORT (LOVE) NORTH, MYRTLE BEACH, SC",$108
86,"HAMMOCK BEACH RESORT (OCEAN), PALM COAST, FLA",$200
87,"THE GOLF COURSES OF LAWSONIA (LINKS), GREEN LAKE, WIS",$100
88,"TOBACCO ROAD GOLF CLUB, SANFORD, NC",$167
89,"PELICAN HILL GOLF CLUB (OCEAN SOUTH), NEWPORT COAST, CALIF",$280
90,"THE GLEN CLUB, GLENVIEW, ILL",$200
91,"WILD HORSE GOLF CLUB, GOTHENBURG, NEB",$79
92,"SUNDAY RIVER GOLF CLUB, NEWRY, MAINE",$128
93,"THE GOLF CLUB AT REDLANDS MESA, GRAND JUNCTION, COLO",$87
94,"LA QUINTA RESORT (MOUNTAIN), LA QUINTA, CALIF",$100
95,"RUSTIC CANYON GOLF COURSE, MOORPARK, CALIF",$100
96,"TPC DEERE RUN, SILVIS, ILL",$150
97,"BAY HARBOR GOLF CLUB (LINKS/QUARRY), BAY HARBOR, MICH",$125
98,"WYNN LAS VEGAS, LAS VEGAS, NEV",$550
99,"GRAYHAWK GOLF CLUB (TALON), SCOTTSDALE, ARIZ",$120
100,"CIRCLING RAVEN GOLF CLUB, WORLEY, IDAH",$100